Lat,Long,Region,Grid
38.9398699017199,-77.4172473014294,Fairfax County,NOVA
38.9398699017199,-77.3449430685725,Fairfax County,NOVA
38.9398699017199,-77.2726388357156,Fairfax County,NOVA
38.9398699017199,-77.2003346028587,Fairfax County,NOVA
38.9398699017199,-77.1280303700018,Fairfax County,NOVA
38.8907298525799,-77.489368815496,Fairfax County,NOVA
38.8907298525799,-77.416973223244,Fairfax County,NOVA
38.8907298525799,-77.344577630992,Fairfax County,NOVA
38.8907298525799,-77.27218203874,Fairfax County,NOVA
38.8907298525799,-77.1997864464879,Fairfax County,NOVA
38.8415898034398,-77.489185634376,Fairfax County,NOVA
38.8415898034398,-77.416698451564,Fairfax County,NOVA
38.8415898034398,-77.344211268752,Fairfax County,NOVA
38.8415898034398,-77.27172408594,Fairfax County,NOVA
38.8415898034398,-77.199236903128,Fairfax County,NOVA
38.8415898034398,-77.126749720316,Fairfax County,NOVA
38.7924497542998,-77.4164229837541,Fairfax County,NOVA
38.7924497542998,-77.3438439783388,Fairfax County,NOVA
38.7924497542998,-77.2712649729235,Fairfax County,NOVA
38.7924497542998,-77.1986859675082,Fairfax County,NOVA
38.7924497542998,-77.1261069620928,Fairfax County,NOVA
38.7433097051597,-77.3434757562205,Fairfax County,NOVA
38.7433097051597,-77.2708046952756,Fairfax County,NOVA
38.7433097051597,-77.1981336343307,Fairfax County,NOVA
38.7433097051597,-77.1254625733858,Fairfax County,NOVA
38.7433097051597,-77.0527915124409,Fairfax County,NOVA
38.6941696560197,-77.2703432485592,Fairfax County,NOVA
38.6941696560197,-77.1975798982711,Fairfax County,NOVA
38.6941696560197,-77.1248165479829,Fairfax County,NOVA
38.6450296068796,-77.1970247539777,Fairfax County,NOVA
38.6450296068796,-77.1241688796406,Fairfax County,NOVA
38.79244,-77.05352,Alexandria and Arlington,NOVA
38.84158,-77.05426,Alexandria and Arlington,NOVA
38.89072,-77.12739,Alexandria and Arlington,NOVA
38.9763155855856,-77.0504946491809,Capital Hill,DC
38.9183211711712,-77.0502405694139,Capital Hill,DC
38.9183211711712,-76.9648608541208,Capital Hill,DC
38.8603267567567,-76.9644785969189,Capital Hill,DC
38.9183211711712,-77.1356202847069,Arlington,DC
38.8603267567567,-77.1354928656396,Arlington,DC
38.8603267567567,-77.0499857312792,Arlington,DC
38.8023323423423,-77.1353650656883,Alexandria,DC
38.8023323423423,-77.0497301313765,Alexandria,DC
39.03431,-77.221,Maryland,DC
39.03431,-77.1358739869802,Maryland,DC
39.03431,-77.0507479739604,Maryland,DC
39.03431,-76.9656219609406,Maryland,DC
39.03431,-76.8804959479208,Maryland,DC
39.03431,-76.7953699349011,Maryland,DC
38.9763155855856,-77.221,Maryland,DC
38.9763155855856,-77.1357473245904,Maryland,DC
38.9763155855856,-76.9652419737713,Maryland,DC
38.9763155855856,-76.8799892983617,Maryland,DC
38.9763155855856,-76.7947366229522,Maryland,DC
38.9183211711712,-76.8794811388278,Maryland,DC
38.9183211711712,-76.7941014235347,Maryland,DC
38.8603267567567,-76.8789714625585,Maryland,DC
38.8603267567567,-76.7934643281981,Maryland,DC
38.8023323423423,-76.9640951970648,Maryland,DC
38.8023323423423,-76.878460262753,Maryland,DC
38.8023323423423,-76.7928253284413,Maryland,DC
38.7443379279279,-76.9637106494276,Maryland,DC
38.7443379279279,-76.8779475325701,Maryland,DC
38.7443379279279,-76.7921844157126,Maryland,DC
38.91832,-77.221,Tysons,DC
38.74433,-77.13523,Fort Hunt and Belvoir,DC
38.74433,-77.04947,Fort Hunt and Belvoir,DC
38.74433,-77.221,Springfield,DC
38.80233,-77.221,Springfield,DC
38.86032,-77.221,Annandale,DC
